Country,Code,Title,Order,transType,transPer,chartLine,BOP_Adj,VertLine1,VertLine2,y1,y2,Freq,Table,Include
MEX,MEX_HOUS_HPI_NOM_INDEX_NSA,Housing: Home Prices,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_CPI_INDEX_SA,Inflation: HL CPI,5,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_CPI_CORE_X_FOOD_ENERGY_SA,Inflation: Core CPI,5,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_BOP_CA_GDP_SA,Current Account,1,ma,1,0,1,2014-05-01,2017-02-01,-2,5,m,BOP,1

EUR,EUR_BOP_CA_TB_GDP_SA,Trade Balance,1,ma,1,0,1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_FDI_NET_GDP_NSA,FDI Net,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_FDI_ASSET_GDP_NSA,FDI Outflows,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_FDI_LIAB_GDP_NSA,FDI Inflows,1,ma,1,0,1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_NET_GDP_NSA,Port Net,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_ASSET_GDP_NSA,Port Outflows,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_LIAB_GDP_NSA,Port Inflows,1,ma,1,0,1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_NET_DEBT_GDP_NSA,Debt Net,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_ASSET_DEBT_GDP_NSA,Debt Outflows,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_LIAB_DEBT_GDP_NSA,Debt Inflows,1,ma,1,0,1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_NET_EQ_INVFUNDS_GDP_NSA,EQ Net,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

EUR,EUR_BOP_FA_PORTINV_ASSET_EQ_INVFUNDS_GDP_NSA,EQ Outflows,1,ma,1,0,-1,2014-05-01,2017-02-01,nlim,nlim,m,BOP,1

