list of data alert,,,,,,,,,
,,,,,,,,,
item,bloomberg/haver ticker,,,,,,,,
,,,,,,,,,
slovakia unemployment rate,SLUER Index,,,,,,,,
,,,,,,,,,
swiss gold export to china,CHNIGCNE@ALPMED,,,,,,,,
,,,,,,,,,
DB siren,DBSRMEA Index,,,,,,,,
,,,,,,,,,
China agg financing,CNLNNEW Index,,,,,,,,
,,,,,,,,,
new yuan loan,CNMS1YOY Index,,,,,,,,
,,,,,,,,,
M1,CNLNASF Index,,,,,,,,
,,,,,,,,,
Poland industrial production,POISCMOM Index,,,,,,,,
,,,,,,,,,
Taiwan export orders,TWEOTTLY Index,,,,,,,,
,,,,,,,,,
German consumer confidence,ECO1GFKC Index,,,,,,,,
,,,,,,,,,
Turkey consumer confidence,TUCDCONS Index,,,,,,,,
,,,,,,,,,
Australia employment change,AULFEMPC Index,,,,,,,,
,,,,,,,,,
unemployment rate,AULFUNEM Index,,,,,,,,
,,,,,,,,,
SME confidence SC,SCCNSMEI Index,,,Plan to hire,SBOIHIRE Index,,,,
,,,,,,,,,
business expectations,SCCNOUTL Index,,,job openings hard to fill,SBOIEMPL Index,,,,
,,,,,,,,,
Copper end use tracker,CIGMCCET Index,,,few or no qualified app,SBOIQAJB Index,,,,
,,,,,,,,,
,,,,NY Fed inflation,NYCNM3IR Index,,,,
,,,,,,,,,
Czech,,,,1 year ahead,NYCNM1IR Index,,,,
,,,,,,,,,
Business confidence,CZCCBUS Index,,,Phili fed,OUTFGAF Index,,,,
,,,,,,,,,
consmer confidence,CZCCCON Index,,,New orders,OUTFNOF Index,,,,
,,,,,,,,,
CPI,CZCPYOY Index,,,shipment,OUTFSHF Index,,,,
,,,,,,,,,
Monetary policy relevant,CZCIMPY Index,,,Richmond service sector survey,RCSSSREV Index,,,,
,,,,,,,,,
GDP,CZGDPSAQ Index,,,demand,RCSSCSDE Index,,,,
,,,,,,,,,
IP,CZIPITYY Index,,,SP corelogic CS,SPCSUSAY Index,,,,
,,,,,,,,,
construction output,CZCSYOY Index,,,20 largest,SPCS20Y% Index,,,,
,,,,,,,,,
Manu pmi,MPMICZMA Index ,,,,,,,,
,,,,,,,,,
Retail sales ex auto,CZRSXYOY Index,,,,,,,,
,,,,,,,,,
Wage growth,CZRWYOY Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
EU,,,,,,,,,
,,,,,,,,,
Siren,DBSRMEA Index,,,,,,,,
,,,,,,,,,
composite pmi,MPMIEUCA Index ,,,,,,,,
,,,,,,,,,
manu pmi,MPMIEUMA Index ,,,,,,,,
,,,,,,,,,
New car registration,WCAR25 Y Index,,,,,,,,
,,,,,,,,,
service pmi,MPMIEUSA Index ,,,,,,,,
,,,,,,,,,
CAI,GSEACAI Index,,,,,,,,
,,,,,,,,,
Construction output,EUCPTWDY Index,,,,,,,,
,,,,,,,,,
consumer conf,EUCCEMU Index,,,,,,,,
,,,,,,,,,
current account,EUSATOTN Index,,,,,,,,
,,,,,,,,,
eu commission survey,EUESEMU Index,,,,,,,,
,,,,,,,,,
business climate,EUBCI Index,,,,,,,,
,,,,,,,,,
