Read,Visible,id,Ticker,Load_Fn,FunctionArgs,Location,Country,Concept,Name,sub1,sub2,sub3,sub4,sub5,seas,Version,Description,Freq
TRUE,FALSE,s_119,USA_PMI_RFED_MANU_PRICES_REC_EXP6M_1_SA,haver,RI6PIR@SURVEYS,,USA,PMI,PMI,RFED,MANU,PRICES,REC,EXP6M,SA,,,M

TRUE,FALSE,s_120,USA_PMI_DFED_MANU_COMP_CUR_1_SA,haver,DBACTS@SURVEYS,,USA,PMI,PMI,DFED,MANU,COMP,,CUR,SA,,,M

TRUE,FALSE,s_121,USA_PMI_DFED_MANU_PROD_CUR_1_SA,haver,DPRODS@SURVEYS,,USA,PMI,PMI,DFED,MANU,PROD,,CUR,SA,,,M

TRUE,FALSE,s_122,USA_PMI_DFED_MANU_CU_CUR_1_SA,haver,DCAPUS@SURVEYS,,USA,PMI,PMI,DFED,MANU,CU,,CUR,SA,,,M

TRUE,FALSE,s_123,USA_PMI_DFED_MANU_NO_CUR_1_SA,haver,DVNWOS@SURVEYS,,USA,PMI,PMI,DFED,MANU,NO,,CUR,SA,,,M

TRUE,FALSE,s_124,USA_PMI_DFED_MANU_ORDER_GR_CUR_1_SA,haver,DGROS@SURVEYS,,USA,PMI,PMI,DFED,MANU,ORDER,GR,CUR,SA,,,M

TRUE,FALSE,s_125,USA_PMI_DFED_MANU_UNFILLED_ORDERS_CUR_1_SA,haver,DUFILS@SURVEYS,,USA,PMI,PMI,DFED,MANU,UNFILLED,ORDERS,CUR,SA,,,M

TRUE,FALSE,s_126,USA_PMI_DFED_MANU_SHIP_CUR_1_SA,haver,DVSHPS@SURVEYS,,USA,PMI,PMI,DFED,MANU,SHIP,,CUR,SA,,,M

TRUE,FALSE,s_127,USA_PMI_DFED_MANU_DELIV_CUR_1_SA,haver,DDTMS@SURVEYS,,USA,PMI,PMI,DFED,MANU,DELIV,,CUR,SA,,,M

TRUE,FALSE,s_128,USA_PMI_DFED_MANU_PRICES_PAID_CUR_1_SA,haver,DPRMS@SURVEYS,,USA,PMI,PMI,DFED,MANU,PRICES,PAID,CUR,SA,,,M

TRUE,FALSE,s_129,USA_PMI_DFED_MANU_PRICES_REC_CUR_1_SA,haver,DPFGS@SURVEYS,,USA,PMI,PMI,DFED,MANU,PRICES,REC,CUR,SA,,,M

TRUE,FALSE,s_130,USA_PMI_DFED_MANU_WAGES_CUR_1_SA,haver,DWGSS@SURVEYS,,USA,PMI,PMI,DFED,MANU,WAGES,,CUR,SA,,,M

TRUE,FALSE,s_131,USA_PMI_DFED_MANU_EMPL_CUR_1_SA,haver,DNEMPS@SURVEYS,,USA,PMI,PMI,DFED,MANU,EMPL,,CUR,SA,,,M

TRUE,FALSE,s_132,USA_PMI_DFED_MANU_HOURS_CUR_1_SA,haver,DAVWKS@SURVEYS,,USA,PMI,PMI,DFED,MANU,HOURS,,CUR,SA,,,M

TRUE,FALSE,s_133,USA_PMI_DFED_MANU_CAPEX_CUR_1_SA,haver,DCEXPS@SURVEYS,,USA,PMI,PMI,DFED,MANU,CAPEX,,CUR,SA,,,M

TRUE,FALSE,s_134,USA_PMI_DFED_MANU_COMP_EXP6M_1_SA,haver,DFBACTS@SURVEYS,,USA,PMI,PMI,DFED,MANU,COMP,,EXP6M,SA,,,M

TRUE,FALSE,s_135,USA_PMI_DFED_MANU_PROD_EXP6M_1_SA,haver,DFPRODS@SURVEYS,,USA,PMI,PMI,DFED,MANU,PROD,,EXP6M,SA,,,M

TRUE,FALSE,s_136,USA_PMI_DFED_MANU_CU_EXP6M_1_SA,haver,DFCAPUS@SURVEYS,,USA,PMI,PMI,DFED,MANU,CU,,EXP6M,SA,,,M

