Read,Visible,id,Ticker,Function,series1,series2,func_args,series1_start_date,series1_end_date,series1_factor,series1_shift,series2_start_date,series2_end_date,series2_factor,series2_shift
TRUE,TRUE,t_15016,ICE_AUTO_SALES_MIL_LOC_NSA,name,ICE_AUTO_SALES_MIL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15017,NOR_RSALES_NOM_EX_AUTO_INDEX_NSA,name,NOR_RSALES_NOM_EX_AUTO_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15018,NOR_RSALES_NOM_EX_AUTO_FUELS_INDEX_NSA,name,NOR_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15019,NOR_RSALES_NOM_EX_AUTO_INDEX_SA,seasonaladjustx13,NOR_RSALES_NOM_EX_AUTO_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15020,NOR_RSALES_NOM_EX_AUTO_FUELS_INDEX_SA,seasonaladjustx13,NOR_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15021,NOR_RSALES_REAL_EX_AUTO_FUELS_INDEX_SA,name,NOR_RSALES_REAL_EX_AUTO_FUELS_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_15022,NOR_REGISTERED_AUTOS_PASSENGER_UNITS_SA,name,NOR_REGISTERED_AUTOS_PASSENGER_UNITS_1_SA,,,,,,,,,,

TRUE,TRUE,t_15023,SWE_REGISTERED_AUTOS_UNITS_SA,seasonaladjustx13,SWE_REGISTERED_AUTOS_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15024,SWE_REGISTERED_AUTOS_PASSENGER_UNITS_SA,seasonaladjustx13,SWE_REGISTERED_AUTOS_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15025,SWE_RSALES_NOM_EX_FUEL_INDEX_SA,seasonaladjustx13,SWE_RSALES_NOM_EX_FUEL_INDEX_1_WDA,,,,,,,,,,

TRUE,TRUE,t_15026,SWE_CONSUMPTION_NOM_HH_INDEX_NSA,name,SWE_CONSUMPTION_NOM_HH_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15027,SWE_CONSUMPTION_REAL_HH_INDEX_SA,name,SWE_CONSUMPTION_REAL_HH_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_15028,AUT_RSALES_NOM_EX_AUTO_FUELS_INDEX_SA,seasonaladjustx13,AUT_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15029,AUT_RSALES_REAL_EX_AUTO_FUELS_INDEX_SA,seasonaladjustx13,AUT_RSALES_REAL_EX_AUTO_FUELS_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15030,AUT_REGISTERED_AUTOS_PASSENGER_UNITS_SA,seasonaladjustx13,AUT_REGISTERED_AUTOS_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15031,GRE_RSALES_NOM_EX_FUEL_INDEX_SWDA,name,GRE_RSALES_NOM_EX_FUEL_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15032,GRE_RSALES_REAL_EX_FUEL_INDEX_SWDA,name,GRE_RSALES_REAL_EX_FUEL_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15034,POR_RSALES_NOM_EX_FUEL_INDEX_SWDA,splice_geometric,POR_RSALES_NOM_EX_FUEL_INDEX_1_SWDA,POR_RSALES_NOM_EX_FUEL_INDEX_2_SWDA,,GEO_SPLICE,,,,,,,

TRUE,TRUE,t_15035,POR_RSALES_REAL_EX_FUEL_INDEX_SWDA,splice_geometric,POR_RSALES_REAL_EX_FUEL_INDEX_1_SWDA,POR_RSALES_REAL_EX_FUEL_INDEX_2_SWDA,,GEO_SPLICE,,,,,,,

TRUE,TRUE,t_15036,CHE_RSALES_NOM_EX_AUTO_FUELS_INDEX_SWDA,name,CHE_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15037,CHE_RSALES_REAL_EX_AUTO_FUELS_INDEX_SWDA,name,CHE_RSALES_REAL_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15038,CHE_REGISTERED_AUTOS_UNITS_SA,seasonaladjustx13,CHE_REGISTERED_AUTOS_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15039,IRE_RSALES_NOM_EX_AUTO_FUELS_INDEX_SWDA,name,IRE_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

